State,Medicaid Program Goal,Outcome Statement,Metric(s)
North Dakota,Public Health,Improve electronic public health reporting data quality in North Dakota to support Medicaid providers’ ability to coordinate care as it relates to improving population health for the Medicaid beneficiaries.,Provider utilization of NDHIN to access patients’ immunization health data
Rhode Island,HIE Services,"Improve Medicaid1 providers’ access to clinical data and event notifications through HIE services to improve care coordination and transitions of care, and to positively impact health outcomes of Medicaid beneficiaries. Timely access to relevant information for patient care and treatment is one of the most important core functions of an HIE. By monitoring providers’ use of HIE services, EOHHS and Medicaid can better administer the Medicaid program, working with the Accountable Entities (AE) and Managed Care Organizations (MCO) to assure optimal benefit from the use of the State’s HIE and its services.",The percent of healthcare sites that log in to CurrentCare Viewer 11+ times per month (# of practice sites that log in to Viewer 11+ times per month / # of sites with access to Viewer)
Rhode Island,HIE Services,"Improve Medicaid1 providers’ access to clinical data and event notifications through HIE services to improve care coordination and transitions of care, and to positively impact health outcomes of Medicaid beneficiaries. Timely access to relevant information for patient care and treatment is one of the most important core functions of an HIE. By monitoring providers’ use of HIE services, EOHHS and Medicaid can better administer the Medicaid program, working with the Accountable Entities (AE) and Managed Care Organizations (MCO) to assure optimal benefit from the use of the State’s HIE and its services.",Assessment of frequency of use of Care Management Dashboards (Ratio of log-ins to dashboard users in a 30-day period)
Rhode Island,Public Health,"Reduce administrative and reporting burden for Medicaid providers, and create efficiencies and optimizations for the Medicaid program, by supporting connections for public health and quality reporting where appropriate. The HIE is uniquely positioned to facilitate connections by utilizing existing clinical interfaces with provider systems for additional state and federal reporting needs.",The percent of non- hospital lab reportable disease results sent to NEDSS through the HIE (# lab reportable disease results/transactions sent to NEDSS Through the HIE/ # lab reportable disease results from non-hospital laboratories)
Rhode Island,Quality Reporting,"Reduce administrative and reporting burden for Medicaid providers, and create efficiencies and optimizations for the Medicaid program, by supporting connections for public health and quality reporting where appropriate. The HIE is uniquely positioned to facilitate connections by utilizing existing clinical interfaces with provider systems for additional state and federal reporting needs.",The number of lab results sent to the Quality Reporting System (QRS) (# lab results sent to QRS)
Wyoming,Event Notifications,"The state will use the HIE to send ADT notifications, which will improve care coordination and targeted follow-up with Medicaid beneficiaries. In addition, the state will use the ADT data from the HIE to improve health outcomes by improving insight into Medicaid service usage by identifying utilization of Emergency Department (ED) and hospital admissions and gaps in services. This information will be used to inform Medicaid administration and providers about the Medicaid population’s health and improve the evaluation of Medicaid program performance and client’s health outcomes.",The number of notifications sent to the Medicaid HMUM vendor per month.
Wyoming,Event Notifications,"The state will use the HIE to send ADT notifications, which will improve care coordination and targeted follow-up with Medicaid beneficiaries. In addition, the state will use the ADT data from the HIE to improve health outcomes by improving insight into Medicaid service usage by identifying utilization of Emergency Department (ED) and hospital admissions and gaps in services. This information will be used to inform Medicaid administration and providers about the Medicaid population’s health and improve the evaluation of Medicaid program performance and client’s health outcomes.",The number of CCDs pulled for Medicaid HMUM patients per month.
Wyoming,Care Coordination,"The State will use the HIE’s referral function to improve care coordination and targeted follow-up with Medicaid beneficiaries. In addition, the state will use the ADT data from the HIE to improve health outcomes for Medicaid diabetes and prediabetes patients through closed loop referrals between PCPs and RDs as part of the CDC’s National Diabetes Prevention Program (DPP).",The number of referrals for DPP per month.
Wyoming,Care Coordination,"The State will use the HIE’s referral function to improve care coordination and targeted follow-up with Medicaid beneficiaries. In addition, the state will use the ADT data from the HIE to improve health outcomes for Medicaid diabetes and prediabetes patients through closed loop referrals between PCPs and RDs as part of the CDC’s National Diabetes Prevention Program (DPP).",The number of summaries by RDs per month.
Wyoming,Care Coordination,The state will use the HIE’s ability to aggregate health data from multiple sources to improve care coordination by enabling Medicaid care team members to see all relevant health data for Medicaid Patients. It will improve outcomes by maintaining continuity as patients’ transition into and out of Medicaid eligibility.,Number of Medicaid patients with records in WYFI over time.
Wyoming,Event Notifications,The state will use the HIE’s ability to aggregate health data from multiple sources to improve care coordination by enabling Medicaid care team members to see all relevant health data for Medicaid Patients. It will improve outcomes by maintaining continuity as patients’ transition into and out of Medicaid eligibility.,Number of Medicaid Patient encounter records in WYFI over time.
